word1,word2,order1,order1_count,order2,order2_count,novel
kings,mendicants,kings and mendicants,0,mendicants and kings,0,True
knights,serfs,knights and serfs,1608,serfs and knights,392,False
knights,spectacles,knights and spectacles,0,spectacles and knights,0,True
knights,thimbles,knights and thimbles,0,thimbles and knights,0,True
krill,whales,krill and whales,704,whales and krill,1182,False
labourers,rajahs,labourers and rajahs,0,rajahs and labourers,0,True
labourers,viscounts,labourers and viscounts,0,viscounts and labourers,0,True
lace,twine,lace and twine,0,twine and lace,0,True
lakes,oceans,lakes and oceans,84888,oceans and lakes,43496,False
lances,scarves,lances and scarves,0,scarves and lances,0,True
lances,spears,lances and spears,10388,spears and lances,19880,False
lankier,lanky,lankier and lanky,0,lanky and lankier,0,True
lanterns,quasars,lanterns and quasars,0,quasars and lanterns,0,True
lanterns,ravens,lanterns and ravens,0,ravens and lanterns,0,True
laundresses,queens,laundresses and queens,0,queens and laundresses,0,True
lemmings,wolverines,lemmings and wolverines,0,wolverines and lemmings,0,True
leopards,rabbits,leopards and rabbits,0,rabbits and leopards,0,True
leviathans,minnows,leviathans and minnows,0,minnows and leviathans,0,True
lightning,moths,lightning and moths,0,moths and lightning,0,True
limestone,tourmalines,limestone and tourmalines,0,tourmalines and limestone,0,True
linen,satin,linen and satin,604,satin and linen,920,False
lions,needles,lions and needles,0,needles and lions,0,True
lions,rabbits,lions and rabbits,520,rabbits and lions,560,False
lions,teacups,lions and teacups,0,teacups and lions,0,True
litter,newts,litter and newts,0,newts and litter,0,True
lizards,tyrannosaurs,lizards and tyrannosaurs,0,tyrannosaurs and lizards,0,True
looms,trebuchets,looms and trebuchets,0,trebuchets and looms,0,True
lords,mendicants,lords and mendicants,0,mendicants and lords,0,True
lords,peasants,lords and peasants,48956,peasants and lords,11200,False
lords,shepherds,lords and shepherds,0,shepherds and lords,0,True
maelstroms,ripples,maelstroms and ripples,0,ripples and maelstroms,0,True
maids,queens,maids and queens,0,queens and maids,840,False
majors,spinners,majors and spinners,0,spinners and majors,0,True
mansions,pigsties,mansions and pigsties,0,pigsties and mansions,0,True
mansions,shanties,mansions and shanties,2272,shanties and mansions,0,False
mantles,rags,mantles and rags,0,rags and mantles,0,True
maples,mushrooms,maples and mushrooms,0,mushrooms and maples,0,True
marbles,orbs,marbles and orbs,0,orbs and marbles,0,True
marooned,missing,marooned and missing,0,missing and marooned,0,True
martens,squirrels,martens and squirrels,664,squirrels and martens,528,False
masculine,undignified,masculine and undignified,0,undignified and masculine,0,True
mastodons,moths,mastodons and moths,0,moths and mastodons,0,True
mattocks,trowels,mattocks and trowels,0,trowels and mattocks,0,True
mausoleums,shacks,mausoleums and shacks,0,shacks and mausoleums,0,True
meadows,steppes,meadows and steppes,1436,steppes and meadows,856,False
meadows,tundras,meadows and tundras,0,tundras and meadows,0,True
mesas,thickets,mesas and thickets,0,thickets and mesas,0,True
meteors,raindrops,meteors and raindrops,0,raindrops and meteors,0,True
mice,owls,mice and owls,1120,owls and mice,1264,False
mice,tigers,mice and tigers,0,tigers and mice,0,True
mice,wolves,mice and wolves,0,wolves and mice,0,True
millers,priests,millers and priests,0,priests and millers,0,True
millstones,pebbles,millstones and pebbles,0,pebbles and millstones,0,True
minnows,orcas,minnows and orcas,0,orcas and minnows,0,True
minnows,ospreys,minnows and ospreys,0,ospreys and minnows,0,True
minnows,plesiosaurs,minnows and plesiosaurs,0,plesiosaurs and minnows,0,True
moles,polecats,moles and polecats,0,polecats and moles,0,True
monarchs,serfs,monarchs and serfs,0,serfs and monarchs,0,True
monks,tanners,monks and tanners,0,tanners and monks,0,True
monks,telescopes,monks and telescopes,0,telescopes and monks,0,True
moose,voles,moose and voles,0,voles and moose,0,True
mosses,yews,mosses and yews,0,yews and mosses,0,True
moths,pulsars,moths and pulsars,0,pulsars and moths,0,True
moths,seas,moths and seas,0,seas and moths,0,True
moths,suns,moths and suns,0,suns and moths,0,True
mountains,petals,mountains and petals,0,petals and mountains,0,True
mud,platinum,mud and platinum,0,platinum and mud,0,True
mudslides,puddles,mudslides and puddles,0,puddles and mudslides,0,True
mushrooms,oaks,mushrooms and oaks,0,oaks and mushrooms,0,True
mushrooms,pines,mushrooms and pines,0,pines and mushrooms,0,True
muskets,slingshots,muskets and slingshots,0,slingshots and muskets,0,True
muslin,velvet,muslin and velvet,348,velvet and muslin,846,False
nebulae,sparks,nebulae and sparks,0,sparks and nebulae,0,True
nectar,swill,nectar and swill,0,swill and nectar,0,True
needles,ravens,needles and ravens,0,ravens and needles,0,True
needles,sledgehammers,needles and sledgehammers,0,sledgehammers and needles,0,True
needles,tigers,needles and tigers,0,tigers and needles,0,True
nobles,paupers,nobles and paupers,904,paupers and nobles,0,False
nurses,patriarchs,nurses and patriarchs,0,patriarchs and nurses,0,True
oboes,tambourines,oboes and tambourines,0,tambourines and oboes,0,True
oceans,ponds,oceans and ponds,552,ponds and oceans,1216,False
organs,whistles,organs and whistles,0,whistles and organs,0,True
owls,pennies,owls and pennies,0,pennies and owls,0,True
owls,thimbles,owls and thimbles,0,thimbles and owls,0,True
paintbrushes,sailors,paintbrushes and sailors,0,sailors and paintbrushes,0,True
palaces,pigsties,palaces and pigsties,0,pigsties and palaces,0,True
paupers,princes,paupers and princes,808,princes and paupers,8287,False
pearls,silt,pearls and silt,0,silt and pearls,0,True
peasants,sultans,peasants and sultans,0,sultans and peasants,0,True
pebbles,volcanoes,pebbles and volcanoes,0,volcanoes and pebbles,0,True
pelicans,sardines,pelicans and sardines,0,sardines and pelicans,0,True
pennies,wolves,pennies and wolves,0,wolves and pennies,0,True
peridot,silt,peridot and silt,0,silt and peridot,0,True
petals,tornadoes,petals and tornadoes,0,tornadoes and petals,0,True
pharaohs,potters,pharaohs and potters,0,potters and pharaohs,0,True
pharaohs,scullions,pharaohs and scullions,0,scullions and pharaohs,0,True
pianos,triangles,pianos and triangles,0,triangles and pianos,0,True
pickaxes,pins,pickaxes and pins,0,pins and pickaxes,0,True
pikes,slingshots,pikes and slingshots,0,slingshots and pikes,0,True
pinnacles,vales,pinnacles and vales,0,vales and pinnacles,0,True
pins,tigers,pins and tigers,0,tigers and pins,0,True
pins,walls,pins and walls,0,walls and pins,0,True
planets,sparks,planets and sparks,0,sparks and planets,0,True
priests,tanners,priests and tanners,0,tanners and priests,0,True
priors,scullions,priors and scullions,0,scullions and priors,0,True
pterodactyls,sparrows,pterodactyls and sparrows,0,sparrows and pterodactyls,0,True
puddles,straits,puddles and straits,0,straits and puddles,0,True
puffs,squalls,puffs and squalls,584,squalls and puffs,0,False
puppies,tigers,puppies and tigers,0,tigers and puppies,0,True
pyramids,sandcastles,pyramids and sandcastles,0,sandcastles and pyramids,0,True
queens,serfs,queens and serfs,0,serfs and queens,0,True
rabbits,stoats,rabbits and stoats,360,stoats and rabbits,384,False
rabbits,wolves,rabbits and wolves,1548,wolves and rabbits,1968,False
rags,tapestries,rags and tapestries,0,tapestries and rags,0,True
rapiers,thimbles,rapiers and thimbles,0,thimbles and rapiers,0,True
rats,sharks,rats and sharks,0,sharks and rats,0,True
redwoods,toadstools,redwoods and toadstools,0,toadstools and redwoods,0,True
rhinoceroses,voles,rhinoceroses and voles,0,voles and rhinoceroses,0,True
ribbons,sharks,ribbons and sharks,0,sharks and ribbons,0,True
ribbons,shields,ribbons and shields,0,shields and ribbons,0,True
ripples,waterspouts,ripples and waterspouts,0,waterspouts and ripples,0,True
rivers,seeds,rivers and seeds,0,seeds and rivers,0,True
rubies,sandstone,rubies and sandstone,0,sandstone and rubies,0,True
rustles,tempests,rustles and tempests,0,tempests and rustles,0,True
sackcloth,velvet,sackcloth and velvet,0,velvet and sackcloth,0,True
sardines,whales,sardines and whales,0,whales and sardines,0,True
saxophones,whistles,saxophones and whistles,0,whistles and saxophones,0,True
scepters,twigs,scepters and twigs,0,twigs and scepters,0,True
scissors,scythes,scissors and scythes,0,scythes and scissors,0,True
seamstresses,stevedores,seamstresses and stevedores,0,stevedores and seamstresses,0,True
seeds,sharks,seeds and sharks,0,sharks and seeds,0,True
serfs,tsars,serfs and tsars,0,tsars and serfs,0,True
serfs,viscounts,serfs and viscounts,0,viscounts and serfs,0,True
shale,topazes,shale and topazes,0,topazes and shale,0,True
sharks,teacups,sharks and teacups,0,teacups and sharks,0,True
showers,typhoons,showers and typhoons,0,typhoons and showers,0,True
shrews,weasels,shrews and weasels,0,weasels and shrews,564,False
silk,tweed,silk and tweed,476,tweed and silk,492,False
slings,trebuchets,slings and trebuchets,0,trebuchets and slings,0,True
soldiers,spools,soldiers and spools,0,spools and soldiers,0,True
sparks,stars,sparks and stars,1672,stars and sparks,1380,False
sparks,thunderbolts,sparks and thunderbolts,0,thunderbolts and sparks,0,True
sparrows,wolves,sparrows and wolves,0,wolves and sparrows,0,True
spears,tablecloths,spears and tablecloths,0,tablecloths and spears,0,True
spoons,wolves,spoons and wolves,0,wolves and spoons,0,True
squalls,typhoons,squalls and typhoons,324,typhoons and squalls,0,True
stools,thrones,stools and thrones,384,thrones and stools,584,False
sultans,vagabonds,sultans and vagabonds,0,vagabonds and sultans,0,True
tablecloths,tigers,tablecloths and tigers,0,tigers and tablecloths,0,True
tambourines,violins,tambourines and violins,0,violins and tambourines,584,False
teacups,wolves,teacups and wolves,0,wolves and teacups,0,True
therapy,vacations,therapy and vacations,0,vacations and therapy,0,True
thimbles,towers,thimbles and towers,0,towers and thimbles,0,True
thimbles,wolves,thimbles and wolves,0,wolves and thimbles,0,True
thunderclaps,whispers,thunderclaps and whispers,0,whispers and thunderclaps,0,True
trombones,whistles,trombones and whistles,0,whistles and trombones,0,True
trumpets,whistles,trumpets and whistles,2188,whistles and trumpets,2576,False
tsars,vagrants,tsars and vagrants,0,vagrants and tsars,0,True
tubas,whistles,tubas and whistles,0,whistles and tubas,0,True
vocabulary,vowels,vocabulary and vowels,0,vowels and vocabulary,0,True
